768636,U5254@DOM1,C17693,C12320
768646,U4353@DOM1,C17693,C17636
768664,U4353@DOM1,C17693,C17636
726985,U8946@DOM1,C17693,C11727
727131,U212@DOM1,C17693,C126
727419,U212@DOM1,C17693,C126
727619,U212@DOM1,C17693,C126
743134,U5087@DOM1,C17693,C359
743232,U5087@DOM1,C17693,C359
749000,U9947@DOM1,C17693,C19803
749054,U9947@DOM1,C17693,C19803
731492,U288@DOM1,C17693,C1222
737761,U8946@DOM1,C17693,C10577
738711,U293@DOM1,C17693,C2609
738916,U250@DOM1,C17693,C2849
739092,U293@DOM1,C17693,C3422
739214,U293@DOM1,C17693,C3153
727702,U8946@DOM1,C17693,C9945
727798,U8946@DOM1,C17693,C9945
727888,U8946@DOM1,C17693,C9945
740104,U1600@DOM1,C17693,C92
740912,U349@DOM1,C17693,C886
740920,U349@DOM1,C17693,C886
741010,U8601@DOM1,C17693,C10817
748272,U1450@DOM1,C17693,C18113
748428,U1450@DOM1,C17693,C18113
748272,U1450@DOM1,C17693,C18113
748428,U1450@DOM1,C17693,C18113
730430,U8601@DOM1,C17693,C20819
730524,U8601@DOM1,C17693,C20819
760388,U342@DOM1,C17693,C6487
760473,U342@DOM1,C17693,C6487
760694,U342@DOM1,C17693,C113
760807,U3635@DOM1,C17693,C2816
761028,U342@DOM1,C17693,C458
761039,U3635@DOM1,C17693,C21664
750307,U342@DOM1,C17693,C7503
750419,U342@DOM1,C17693,C7503
754601,U2575@DOM1,C17693,C7597
754921,U314@DOM1,C17693,C2914
755200,U737@DOM1,C17693,C19356
727131,U212@DOM1,C17693,C126
727419,U212@DOM1,C17693,C126
727619,U212@DOM1,C17693,C126
772253,U66@DOM1,C17693,C5653
772715,U66@DOM1,C17693,C5653
774452,U66@DOM1,C17693,C2388
774492,U162@DOM1,C17693,C2388
774514,U218@DOM1,C17693,C2388
760694,U342@DOM1,C17693,C113
760168,U1653@DOM1,C17693,C231
760175,U1653@DOM1,C17693,C2669
760196,U3635@DOM1,C17693,C16467
760388,U342@DOM1,C17693,C6487
760473,U342@DOM1,C17693,C6487
762536,U3635@DOM1,C17693,C12682
762568,U3635@DOM1,C17693,C12682
762536,U3635@DOM1,C17693,C12682
762568,U3635@DOM1,C17693,C12682
762009,U3635@DOM1,C17693,C917
762157,U3635@DOM1,C17693,C917
762536,U3635@DOM1,C17693,C12682
762568,U3635@DOM1,C17693,C12682
764120,U293@DOM1,C17693,C706
764133,U293@DOM1,C17693,C882
764140,U1480@DOM1,C17693,C881
764180,U1480@DOM1,C17693,C2388
764249,U293@DOM1,C17693,C46
764281,U293@DOM1,C17693,C883
764284,U1480@DOM1,C17693,C1191
766164,U293@DOM1,C17693,C231
766183,U293@DOM1,C17693,C395
766534,U162@DOM1,C17693,C3435
766588,U162@DOM1,C17693,C3435
766788,U66@DOM1,C17693,C3435
767205,U2837@DOM1,C17693,C1784
767225,U2837@DOM1,C17693,C1784
737055,U2837@DOM1,C17693,C1784
737069,U2837@DOM1,C17693,C1784
737075,U2837@DOM1,C17693,C1784
743411,U5087@DOM1,C17693,C21963
743502,U5087@DOM1,C17693,C1268
743509,U5087@DOM1,C17693,C353
743733,U9763@DOM1,C17693,C353
743403,U5087@DOM1,C17693,C21963
743411,U5087@DOM1,C17693,C21963
746151,U882@DOM1,C17693,C11039
765960,U293@DOM1,C17693,C11039
725488,U1653@DOM1,C17693,C395
737301,U2837@DOM1,C17693,C395
760075,U1653@DOM1,C17693,C395
766183,U293@DOM1,C17693,C395
767187,U2837@DOM1,C17693,C395
771463,U4448@DOM1,C17693,C400
768646,U4353@DOM1,C17693,C17636
768664,U4353@DOM1,C17693,C17636
767288,U66@DOM1,C17693,C3755
752613,U737@DOM1,C17693,C21814
753250,U9763@DOM1,C17693,C21814
746860,U9947@DOM1,C17693,C20203
747145,U9947@DOM1,C17693,C20203
745795,U9947@DOM1,C17693,C853
745961,U9947@DOM1,C17693,C853
746039,U9947@DOM1,C17693,C853
764570,U1480@DOM1,C17693,C1776
764943,U1480@DOM1,C17693,C1776
770056,U66@DOM1,C17693,C2388
770932,U7375@DOM1,C17693,C143
770950,U66@DOM1,C17693,C742
771133,U7375@DOM1,C17693,C1626
771463,U4448@DOM1,C17693,C400
771631,U4448@DOM1,C17693,C1549
772906,U218@DOM1,C17693,C3755
